Filename,Gloss,Description,Comment
barnevern.mp4,barnevern,,
barnevernspedagog.mp4,barnevernspedagog,,
barnevogn.mp4,barnevogn,,
barnslig.mp4,barnslig,,
barometer.mp4,barometer,,
bart.mp4,bart,,
bart-stor-mustasje.mp4,bart: stor mustasje,,
baas.mp4,bås,,
base.mp4,base,,
base-2.mp4,base (grunnlag),,
base-2.mp4,base (kjemi),,
basepar.mp4,basepar,,
basert-paa.mp4,basert på,,
basis.mp4,basis,,
basketball-1.mp4,basketball 1,,
basketball-2.mp4,basketball 2,,
baat.mp4,båt,,
batman.mp4,Batman,,
batteridrill.mp4,batterdrill (verktøy),,
batteri.mp4,batteri,,
baatvelt.mp4,båtvelt,,
baufil-1.mp4,baufil (elektrisk) 1,,
baufil.mp4,baufil 2,,
bauta.mp4,bauta,,
baer.mp4,bær,,
baerbar-pc.mp4,bærbar-PC,,
baere-baere-fram.mp4,bære (bære fram),,
baere-fane-ol.mp4,bære (fane o.l.),,
baere-koffert-ol.mp4,bære (koffert o.l.),,
baere-sekk-1.mp4,bære (sekk) 1,,
baere-sekk-2.mp4,bære (sekk) 2,,
baerebjelke.mp4,bærebjelke,,
baerekraftig.mp4,bærekraftig,,
baerevegg.mp4,bærevegg,,
baerum.mp4,Bærum,,
baersj.mp4,bæsj,,
be-islam-2.mp4,be (islam) 1,,
be-islam-1.mp4,be (islam) 2,,
be-1.mp4,be 1,,
be-2.mp4,be 2,,
bearbeide.mp4,bearbeide,,
beate.mp4,Beate,,
beboer.mp4,beboer,,
bedoevelse-1-narkose.mp4,bedøvelse (narkose),,
bedovelse-sproyte.mp4,bedøvelse (sprøyte) 1,Tegnets plassering er avhengig av konteksten. F.eks bedøvelse hos tannlegen utføres ved munnen.,
bedovelse-sproyte-3.mp4,bedøvelse (sprøyte) 2,Tegnets plassering er avhengig av konteksten. F.eks bedøvelse hos tannlegen utføres ved munnen.,
bedoevelse-tannlege.mp4,bedøvelse (tannlege),,
bedra.mp4,bedra,,
bedre.mp4,bedre,,
bedre-og-bedre.mp4,bedre og bedre,,
bedrift.mp4,bedrift,,
bedroevet-1.mp4,bedrøvet 1,,
bedroevet-2.mp4,bedrøvet 2,,
befale.mp4,befale,,
befrielse.mp4,befrielse,,
begeistret.mp4,begeistret 1,,
begeistret-2.mp4,begeistret 2,,
beger.mp4,beger,,
begge.mp4,begge,,
begivenhet.mp4,begivenhet,,
begjaer.mp4,begjær,,
begrave-lse.mp4,begrave/-lse,,
begrenset.mp4,begrenset,,
begrep.mp4,begrep 1,,
begrep-2.mp4,begrep 2,,
begrunn.mp4,begrunn,,
begrunne-begrunnelse.mp4,begrunne/begrunnelse,,
begynne-lse.mp4,begynne/-lse,,
behagelig.mp4,behagelig,,
behandle-ing.mp4,behandle/-ing,,
behandlingsapparat.mp4,behandlingsapparat,,
behandlingsutover.mp4,behandlingsutøver,,
beholde.mp4,beholde,,
behov.mp4,behov,,
