Gloss,Signwriting,modified
anode,M542x521S26516484x502S20500520x478S17d1b458x487S1851a506x492S11514527x491,anode
arkimedes   personen,M552x576S34900482x488S31a00482x487S30100482x477S1dc21517x487S22100518x473S1ed26533x528S22a04534x561,arkimedes   personen
and,M530x539S33b00482x482S18521503x512S22100508x532,and
hit,M553x566S33e00482x482S2b703509x525S10041532x536,hit
skrift,M526x518S15a16473x506S1eb12479x481S27b07501x487,skrift
glatt,M523x528S15a37476x496S15a51500x473S20e00491x516S26507503x502S2f700511x517,glatt
tall,M526x529S11e09478x483S20e00507x488S20e00499x471S20e00474x472S10041505x499,tall
følge,M514x534S1f548487x510S1f540499x498S26620487x465,følge
horisontal asymptote,M565x517S1dc28436x483S1ee10459x490S1f410536x502S26606495x497,horisontal asymptote
jeg,M519x519S20500481x508S10043489x481,jeg
rosa,M539x518S2ff00482x483S18202524x490S21100501x495,rosa
tulipan,M513x532S18110501x485S18118488x485S20500494x468S20500495x521,tulipan
"asymptote, vertikal",M514x567S1dc28488x537S1ee13487x514S1f412499x433S22b00496x473,"asymptote, vertikal"
"smil, lett",M518x517S33e00482x482,"smil, lett"
puste,M558x601S33600442x483S14c00456x531S20500463x569S26504524x581S33500510x481S14c00520x526S20500526x565S26500462x586,puste
analysere,M539x532S11513512x474S1151b462x472S22125504x468S22123485x468S26a06510x501S26a12479x500S2fb04495x526,analysere
vektor,M524x521S1dc28475x479S10057477x491S20600502x505,vektor
del,M522x522S15a39498x494S15a41478x478S26605500x500S21100478x502,del
skjæringspunkt,M528x547S15a39492x470S15a41472x454S26605494x476S21100472x478S15a18491x519S10012498x532S20500476x528,skjæringspunkt
amperemeter,M556x518S15d0a475x499S15d22470x490S20700444x501S10011522x487S2880a534x481,amperemeter
skrubbsulten,M535x591S15a0b470x567S22b14486x547S22b04503x547S21100486x528S21100507x528S15a03512x568S32c00482x482,skrubbsulten
knokkel,M523x524S10650500x498S1065a478x495S20c00495x475,knokkel
bjørn,M532x538S15058468x463S15050506x473S26514473x506S26504513x517S2fd04485x532,bjørn
puste inn,M524x602S33600476x482S14c00490x530S20500497x572S26500495x587,puste inn
arealvektor,M519x524S10010504x487S15d59493x477S20700481x509,arealvektor
atomkjerne,M522x520S20500493x509S14210493x481S15a48478x481,atomkjerne
kontakt,M520x520S11810505x493S11818480x493S20500495x479,kontakt
parabel,M528x543S1dc28472x485S22b00511x456S28806496x489S22b04490x457S14240498x513,parabel
"tegnspråk, hakkete",M560x643S14c10532x546S14c18510x530S2c614500x589S2b700541x594S2f900547x638S2b711502x576S2f900544x586S2f900505x566S2fc04521x627S2c605542x609S2f900507x618S2ff00482x482,"tegnspråk, hakkete"
befruktning,M535x525S1ce18481x476S1ce10499x476S20700491x510S26502520x511S26516466x508,befruktning
"øyne, åpne",M518x517S31400482x482,"øyne, åpne"
nyfiken,M527x517S33100482x482S1ee10496x487S20e00515x474S26500513x452S1f410498x431,nyfiken
lese,M516x515S15a00504x484S26a02484x488,lese
analysere,M533x536S11912508x480S1191a467x481S21800474x464S21800508x465S26a06513x507S26a12473x505S2fb04492x530,analysere
tusen,M524x508S17610476x492S26506509x494,tusen
gravid   hemmelig,M587x529S35e04457x482S33010501x482S10a20537x487S2b700565x482S21100574x510S2fb04491x523,gravid   hemmelig
døren åpen,M528x582S36e00477x524S15d48477x543S15d02501x552S32401481x482S2f900482x577,døren åpen
røre i grøten,M523x531S2e500500x504S16c48477x493S20300502x470S2f900479x520S2f900505x489,røre i grøten
bølgelengde,M537x556S29a06482x445S10050521x449S10058462x453S10058463x516S22a14470x495S22a04516x493S10050522x515S2f900524x550S2f900465x551,bølgelengde
roald,M533x543S34400467x482S35c00497x482S20600503x519S11a10477x513,roald
avbøyning,M515x527S10040500x497S2d600485x473S26530513x482,avbøyning
ampere,M541x528S15d0a464x482S15d22459x473S20700469x513S2f900525x518S1ed26522x484,ampere
"bolle, rett ned",M551x572S14c48446x531S14c40527x531S28907500x545S2891f470x545S32104482x482S33e00482x482,"bolle, rett ned"
skog,M539x540S15a16481x528S14c00480x460S37800490x494S37b0b492x514S2e230461x488S26626509x496,skog
ion fts,M526x527S19205474x484S19201500x472S2e800508x495,ion fts
befruktning,M530x528S1da10500x499S1da18487x499S20700493x472S26502515x473S26516471x472,befruktning
nå,M515x515S22600486x503S10004500x485,nå
piker,M536x556S33e00482x482S20600503x545S18210513x535,piker
døv,M529x526S33010479x482S11510514x496,døv
stoff,M518x516S20e00501x489S22107509x483S1773e483x496,stoff
x aksen,M553x517S1dc28448x482S10002476x502S26706511x495,x aksen
rett vinkel,M528x528S1dc28472x473S10041507x498S2880b494x471,rett vinkel
trykkmåler,M538x521S15a16462x509S20312464x494S2f920466x478S10011508x487S2880a516x479,trykkmåler
nettopp,M527x557S35b05475x482S32105475x482S20500516x530S10000497x527S37000474x516,nettopp
homozygot,M518x549S18110504x520S18118487x520S17615490x532S20700492x499S17617496x531S10058483x453S10050502x453S20500508x451,homozygot
s,M507x507S20320492x492,s
arv,M513x526S15030487x475S26504492x511,arv
el ladning,M516x516S17650483x500S11552486x484S20500501x501,el ladning
forsiktig forsiktig,M552x587S32d00482x482S35b04482x482S19a02487x544S26506533x549S1a00a497x567S21100517x549S2f800514x534,forsiktig forsiktig
tja,M518x591S14c50490x525S2e100491x562S35100482x482S31900482x482,tja
asle,M537x517S30007482x482S21100524x488S1fa11513x468,asle
jeg!,M538x548S32d00482x482S10043508x517S20500496x537,jeg!
søylediagram,M532x525S1dc28467x475S1f056515x496S22a04489x477S22a04505x478S22a04519x478,søylediagram
dø,M510x537S18202495x462S21100491x489S22b04489x507,dø
parallellogram,M560x540S10058501x510S10050519x510S20500476x460S23a05492x460S2411b441x461S24102521x483S23a1a471x488,parallellogram
f munn,M518x517S36500482x482,f munn
trappe funksjon,M524x535S18220477x520S22a00476x497S22a00499x476S22a06509x465S22a06488x489,trappe funksjon
morsomt,M566x522S2ff00482x482S26706490x501S14c12535x499S22520528x481,morsomt
basis,M513x518S15a16486x506S15a12486x492S2f900496x482,basis
hete,M535x549S30004482x482S11500489x519S20600513x517,hete
spille kort,M566x523S1ea41470x489S1ea49433x489S26900504x477S26906548x507S26907530x485,spille kort
mindre,M515x530S15a12485x492S15a16488x518S22a04494x470,mindre
barn,M530x581S2ff00482x482S15a50518x540S2f900518x576,barn
du,M507x520S10040492x480S2f900493x515,du
periode,M543x523S15a40476x487S15a48457x487S20500469x476S26606496x494S2f900531x518S15a40531x488,periode
radianer,M535x523S1ee18465x479S2880c494x476S11a21508x497,radianer
anfall,M529x544S37154472x457S37104480x456S15000500x470S15008472x470S26504505x507S26514478x507S2f700492x537S2fb04491x526,anfall
signo,M513x529S17118487x509S17110496x497S22a20497x471,signo
linjestykke,M547x527S15a48453x485S15a40471x485S26706490x489S20500464x473S2f900536x521S15a40534x485S2f900453x522,linjestykke
skrive,M531x521S15a16469x509S1eb11478x487S27b07506x478,skrive
lese,M518x569S32104482x482S15a00506x539S26a02488x542,lese
hjem,M512x535S18219487x465S15a50495x508S26500494x484,hjem
proton,M527x533S14212497x498S19209473x475S15a18479x500S20500495x522S2b700497x467S22a04495x489,proton
avta,M548x526S22b03507x502S22b15469x502S2fb00494x493S10011527x475S10019453x475,avta
linje,M526x520S10050474x490S26706484x480,linje
olje,M524x515S1dc01501x485S28803476x491,olje
arter,M521x530S14c38491x499S20500479x493S10004493x469S20500500x487S20500511x492,arter
sommer,M564x518S2ff00482x483S15d02537x485S21100488x490S26606502x490,sommer
jan jeg ja,M541x580S19210520x495S21100525x522S30006482x488S22a04525x540S30120482x477S10041509x550S20500498x538,jan jeg ja
herrer,M575x522S36d00479x479S20e00504x507S15d40523x495S28808546x496S28808563x496,herrer
fag,M529x528S15a02499x510S15a06475x516S20f00487x493S26c14471x473S26c04502x472,fag
glefse,M534x620S15020486x589S26500492x562S2f700491x550S20320492x529S36100482x482S22104522x500S22100522x507,glefse
liv,M544x535S14c00520x504S14c08456x504S24d00520x465S24d18456x465,liv
bjørn,M525x527S37700475x472S37803476x497S15011486x488S21100474x512S22a05512x513,bjørn
hei,M576x518S14c20531x487S33e00482x482S26506561x502S31400482x482,hei
atmosfære,M584x521S36d00479x517S14c21457x483S28a0a487x479S14c00558x487S2df04533x487S22114558x479,atmosfære
dialog,M543x600S10018482x519S10010502x530S27100503x573S27114451x572S2fb04490x594S34700482x483,dialog
banke,M528x524S11041471x476S26b07500x496,banke
kollisjon,M540x516S20302505x483S20308481x483S26502525x484S26516459x484S20b00494x503,kollisjon
matematikk,M542x543S11500504x464S11508474x457S23600503x509S23614458x502S2fc04488x532,matematikk
sinuskurve,M545x515S1dc28454x485S10051515x489S29a06475x484,sinuskurve
tangent,M529x535S10a1c499x465S10027498x487S20e00517x473S22b03471x511,tangent
fagforening,M578x538S15a02451x501S15a06427x507S20f00439x484S26c14423x464S26c04454x463S20500536x523S26602548x521S26616503x522S16d40558x491S16d48503x491,fagforening
amøbe,M541x517S30007482x482S21800513x450S11811516x477S20f00509x462,amøbe
fastlast,M532x536S14c01506x464S14c09469x464S28803499x490S2881b479x490S2f900494x513S20700490x521,fastlast
femkant,M544x551S10050529x521S22b13471x491S22b05504x492S10058455x519S14c00488x448,femkant
hode skuldre fugleperspektiv,M524x517S2ff20476x482,hode skuldre fugleperspektiv
fastspenning,M565x522S20310467x505S20318436x505S2f900470x496S2f900438x497S15a40553x495S15a48536x495S20500544x486S2f900544x479,fastspenning
skjæring med y aksen,M542x515S1dc28459x485S26506527x492S20e00512x494S10012476x493,skjæring med y aksen
stavanger,M519x520S31100482x482S20500483x482S20500509x483S10e10461x490,stavanger
lokke,M510x521S21600502x479S21600491x479S10630490x495,lokke
"tegnspråk, flytende",M519x535S15a10496x470S15a18481x465S21100487x507S2e800504x503,"tegnspråk, flytende"
hyperbel,M537x522S1dc28462x479S10041516x492S28805488x477,hyperbel
flau,M542x526S2ff00482x483S28902494x498S18217525x501,flau
grunnkurs,M544x518S15a12402x488S15a1a399x500S30007482x483S18510519x487S26a02521x455,grunnkurs
atom,M529x516S1f720509x488S1f728471x497S2e800492x484,atom
kontakt mellom to enkle ledere,M517x520S20500495x479S10a10502x494S10a18482x494,kontakt mellom to enkle ledere
suppe,M532x543S34600482x482S1813e484x531S2eb00517x508,suppe
gå   sakte aksjon,M533x592S10e04477x432S10000468x496S26706491x508S2f800492x495S20300471x553S20300502x554S2d220481x569S26500479x409,gå   sakte aksjon
si,M535x551S33b00482x483S10010486x521S26600519x511,si
trekant,M544x550S11e00492x449S22b13471x490S22b05504x491S10058455x518S10050529x520,trekant
ion,M526x527S19205474x484S19201500x472S2e800508x495,ion
parallell,M526x546S10028474x516S10020511x516S26700508x466S26710475x467S2fb00492x454,parallell
statistikk,M531x525S1dc28469x477S10041510x495S2480a493x476,statistikk
pinlig,M518x601S22a04489x586S35000482x482S1f412493x530S20e00490x563S2f900490x578,pinlig
regn,M541x586S14c14459x506S14c1c518x506S22b04522x547S22b14462x550S2ff00482x482S2fb04492x580,regn
eventyr,M530x555S31400482x482S33e00482x482S10011509x503S20e00496x524S20e00506x533S22f03488x534,eventyr
befolkning,M535x518S15a50465x482S26706493x486S22a04490x503S22a04508x503,befolkning
mindre   enn,M542x518S10010473x488S10018510x487S22a15457x482S22a03529x481,mindre   enn
hovedorganisasjon,M582x537S1f510419x515S22a00420x497S22a02534x475S22a16515x475S22a02549x488S22a02559x501S22a16503x488S22a16491x502S2fb00524x463S18510557x522S18518484x522,hovedorganisasjon
vodka,M542x537S36a00482x477S15a54511x510S20b00529x512,vodka
tegnspråk,M517x548S15a10502x464S15a18482x452S2e800502x503S2e84c482x496S2fb04486x542,tegnspråk
x aksen,M536x558S1dc28463x503S10050483x528S20e00485x507S26706494x515S10011507x442S23303475x441,x aksen
frekvens,M521x515S1f410492x500S22104508x486S22104478x486S22104493x486,frekvens
omkrets,M548x553S1d428453x481S1d410488x481S20500481x494S28a09483x448S28a0f479x506S28a0b517x455S28a0d519x499S2f804495x542S20500481x482S2f900457x513,omkrets
gå og se seg om,M549x602S33e00482x489S30142482x476S15d50509x546S15d58475x547S23600510x585S23614459x585,gå og se seg om
el strøm,M530x527S24d03469x496S11513503x473,el strøm
sterk,M507x525S20300492x485S37700499x500S2f900494x474,sterk
elektrisitet,M520x522S11810505x495S11818480x495S20600491x478,elektrisitet
grunnstoff,M549x518S15a16451x506S15a12451x492S2f900461x482S1773e514x498S22107540x485S20e00532x491,grunnstoff
elske,M521x531S36d00479x470S15a07475x486S15a01476x484S20500483x513S2f900482x526,elske
hva heter du?,M553x547S2f900525x538S11500488x517S20600466x521S30300482x477S30a00482x487S10047523x503S33e00482x488S26500508x529,hva heter du
dialog,M551x543S10018485x457S10010505x468S2c510448x506S2c500511x507S2fc04493x532,dialog
gå   sakte aksjon,M531x598S10e04499x421S26500498x402S21100486x493S1f502470x491S26606501x493S2f800489x476S20300514x563S20302480x562S2d220490x575,gå   sakte aksjon
handpumpe,M515x537S20316485x522S26600485x487S26600499x487S17618485x463,handpumpe
hals,M518x523S36a00482x477,hals
kule,M523x534S17f58478x466S17f50504x466S2a20a502x505S2a212477x505,kule
bjørner,M538x537S15058467x462S15050505x472S26514472x508S26504512x516S2fd04484x531S26504524x507S26514462x498,bjørner
parabel,M535x536S1dc28466x493S22b00505x464S28806490x497S22b04484x465S1c347510x511,parabel
asymptote,M565x517S1dc28436x483S1ee10459x490S1f410536x502S26606495x497,asymptote
kjetting,M540x517S17600460x501S17620470x501S17600524x500S17620516x500S20700463x484S20700519x483,kjetting
kortslutning,M522x533S11557478x506S10051492x507S20b00492x487S22a04492x467,kortslutning
ytre vinkel,M542x519S10051512x495S1ee18486x497S37706458x511S28902477x481S20500468x499,ytre vinkel
oslo,M551x559S34400468x477S34400496x478S36a00496x477S10011515x518S26501538x546S20500526x513,oslo
økende,M572x531S14c58472x500S14c50504x500S22a07532x496S22a07545x484S22a11455x497S22a07559x471S22a11428x468S22a11442x483,økende
se der høyre,M555x531S32407482x482S10e00523x501S26607533x470,se der høyre
klippe,M534x533S10e40495x503S26600496x468S15a1a466x479S22710513x480,klippe
kompressor,M507x518S26a02493x483S2f900495x513,kompressor
dessert,M534x536S2ea00519x511S1813e485x519S34700482x482,dessert
komprimere,M515x534S22a04488x487S22a04488x504S2f900504x499S17121486x466S17116492x517,komprimere
sur smak,M537x563S35200463x482S31500463x482S2ff00501x483S15000507x499S2df00508x542S2f900515x535S2fb00493x470,sur smak
befruktet egg,M515x525S18110503x496S18118486x496S17615489x508S20700491x475S17617496x508,befruktet egg
ellipse,M534x536S10050506x505S10058480x506S22a06505x463S2880c522x470S28814467x471S22a02504x488S22a16485x488S22a12480x464,ellipse
hei ned h,M563x533S33e00490x488S14c20530x493S22a05550x519S36d03473x521S32105490x487S30105490x476,hei ned h
unskyld,M524x522S15a37484x479S15a51475x486S20e00498x510S26a07503x497,unskyld
terning,M537x534S15a48465x479S15a42488x465S15a4a490x511S15a40522x479S2f900465x527S22a14464x511S22a04523x511S2f900495x529S2f900526x528S2f900497x482,terning
glefse,M512x545S15020487x514S26500493x487S2f700492x475S20320493x454,glefse
absorbere,M512x544S14c20489x455S26604492x491S20320493x529,absorbere
fysikk,M535x532S26a16475x503S26a02507x505S1d210506x469S1d218464x468,fysikk
ben i kroppen,M565x538S2ff00482x482S10611513x507S20500525x500S2f900526x494S2c300539x515,ben i kroppen
trykk,M513x519S15a36486x507S20350488x497S2f920490x481,trykk
morsomt,M560x560S22520482x547S26706518x522S14c12483x521S30004482x482,morsomt
komprimert,M515x535S22a04488x485S22a10488x505S2f900504x499S17121486x466S17116492x518,komprimert
jeg smil,M529x574S20500488x563S10043499x542S33e00482x482,jeg smil
felt: kraftfelt vertikalt,M541x533S14c14459x467S14c1c518x467S22a04522x508S22a14462x511S2fb04489x527,kraftfelt vertikalt
møte,M540x526S10018482x473S10010502x473S20500494x511S26602510x510S26616459x508,møte
lyve,M527x547S33b00482x482S10011506x502S20e00491x523S22a03480x533,lyve
"flom, stor",M537x535S14c51510x501S14c5f469x508S2b810463x469S2b800494x464,"flom, stor"
linje,M556x514S15a58484x487S15a50504x486S26606526x493S26612444x494,linje
krone,M528x517S2ff00482x482S15312488x466S20500518x477,krone
folk,M535x518S15a50465x482S26706493x486S22a04490x503S22a04508x503,folk
luft,M554x517S2ff00482x482S15a06448x501S15a02525x502S22114445x489S22114528x488,luft
tur,M554x520S2ff00482x482S14c20531x489S26600534x450,tur
kompromiss,M523x529S20500495x509S22a00510x514S22a14477x501S15a50510x484S15a50477x471,kompromiss
oslo,M555x552S34400468x477S34400496x478S36a00496x477S10011521x516S26501542x539,oslo
hus,M525x528S15c13499x473S15c1b480x473S23904505x494S2391c474x495S2fb04492x522,hus
løgn,M527x547S33b00482x482S10011506x502S20e00491x523S22a03480x533,løgn
fiske,M530x510S1ea40471x489S23000505x489,fiske
kalkun,M528x551S2ff00482x482S14c14487x520S26b06510x514,kalkun
like,M517x522S10058482x492S10050502x492S20600488x477,like
heter ned v,M533x543S20600511x513S11500490x513S33e00482x483S32103482x482,heter ned v
konstant   1,M524x527S20500496x507S26502509x506S26516477x506S15a50509x474S15a50481x475S2f900495x522,konstant   1
skrujern,M513x538S1ea1c487x463S2e00a494x494,skrujern
konstant   2,M514x519S15a50502x492S15a50487x492S2f900495x482,konstant   2
s38700463x496 0x0 s38700463x496,,s38700463x496 0x0 s38700463x496
islam,M557x632S15a30450x561S15a30542x561S30104484x477S37100479x533S22b04541x602S22b14448x599S2fb04490x626S34800484x488S37150471x533,islam
bord,M556x513S15a50507x486S15a58486x486S26612444x492S26606526x493,bord
a,M529x514S15d0a476x495S15d52471x486S20700511x490,a
alkalisk,M514x530S15a48486x472S15a40502x470S26504495x515S20e00496x501,alkalisk
nøytron,M523x533S22a04496x489S19209477x474S15a18480x500S20500496x522S2b700498x467S11911495x510,nøytron
barometer,M518x530S15a06491x503S10011483x491S20500500x519S2880a496x486S28802491x471,barometer
lite,M550x542S35b04482x482S32d00482x482S1f110521x518S2f900536x537,lite
forske,M533x539S11912508x477S1191a467x478S21800474x461S21800508x462S22b04512x501S22b14474x500S2fb04493x533,forske
utvalg fra en mengde,M545x531S16c48456x510S1d111475x495S22a07497x489S22a07508x500S1d411520x468,utvalg fra en mengde
kontrakt,M581x541S15a06419x475S1f540425x482S20500428x460S2a20a421x512S10020545x486S10028524x486S23c04558x485S23c1c505x485,kontrakt
alle,M539x519S14c27513x492S2d600482x481S2033f461x496,alle
lyve,M529x546S22a03482x532S10011508x501S20e00493x522S35c00482x482,lyve
elektroder,M530x515S11514515x485S1151c469x485,elektroder
kontroll,M514x541S15a06487x475S1f540491x483S20500493x460S2a20a486x512,kontroll
inntekt,M532x530S15a16490x518S15410517x470S20310467x469S20e00494x503S2890e485x485,inntekt
kutte,M518x532S17650483x493S15a40504x469S22b04502x502,kutte
du,M511x528S10040490x498S26500497x472,du
lage,M529x528S15a02499x510S15a06475x516S20f00487x493S26c14471x473S26c04502x472,lage
astrofysikk,M535x569S15420513x432S2e200515x462S1d210506x506S1d218464x505S26a02507x542S26a16475x540,astrofysikk
tegn,M522x543S14c10499x471S14c18477x456S2e800504x509S2e84c478x496S2fb04485x537,tegn
tid,M532x515S10010468x485S26706490x489,tid
landsorganisasjon,M579x537S18518481x522S18510554x522S22a02531x475S22a16512x475S22a02546x488S22a02556x501S22a16500x488S22a16488x502S2fb00521x463S15a12422x507S2e732425x519,landsorganisasjon
