Gloss,Signwriting,modified
voksen,M535x517S2ff00482x482S15a50523x478S2f900523x509,voksen
akselerasjon,M522x534S10040479x504S28700484x466S2f710510x481,akselerasjon
kaffe du?,M528x578S30a00482x482S36500482x482S20308494x563S10040499x528S22106517x529S21100515x560,kaffe du
se der venstre,M518x535S32401482x482S10e00463x505S26601446x481,se der venstre
hår krøllet,M538x543S36b00482x482S29604523x509S20e00522x492S1c511513x460,hår krøllet
regel,M517x523S15a08490x496S15a52482x476S20500507x495S20500507x512,regel
eksponetialfunksjon,M532x521S1dc28468x491S14a20517x500S28907492x480,eksponetialfunksjon
båt,M524x529S15b21501x506S15b29477x506S26620494x472,båt
jul,M558x533S10019479x466S10011504x466S2940b521x494S29413443x493,jul
element    asl,M516x529S15a1a486x470S2e806484x514S14a10490x491,element    asl
tall,M535x540S11e09470x494S20e00499x499S20e00491x482S20e00466x483S10041497x510S28808472x462S2950b496x460S2950b510x485,tall
arbeid,M526x517S20310483x483S20318475x501S20c00498x504,arbeid
aluminium,M553x517S15d0a477x498S15d22472x489S20700446x500S1dc20529x483,aluminium
lengde,M552x513S15a48449x486S15a40472x486S26706494x493S2f900541x500,lengde
hyperbel,M530x522S1dc28469x479S28805495x477S11540515x492,hyperbel
gråte gråte,M534x571S10000497x503S10008487x505S22a04507x546S22a04521x536S22a14481x546S22a14466x536S31900482x482S2fd04490x565S20e00467x502S20e00519x504,gråte gråte
normalfordelingskurve,M543x532S2f804487x519S28a0a488x468S28807468x482S28805523x489S10050458x502,normalfordelingskurve
absolutt,M518x517S20300488x482S20304483x502S20b00505x496,absolutt
amplitude,M543x529S1dc28456x471S10040475x499S2880a482x474S1ed10517x475S2f900521x504,amplitude
y aksen,M516x543S1dc28483x513S20e00484x497S22b00488x457S10004501x490,y aksen
melke,M526x535S20340511x517S20348474x520S21600478x506S21600513x502S22a04510x482S22a14476x487S2fd00485x465,melke
lik,M517x523S10058482x493S10050502x493S20500493x477,lik
bryte,M527x528S20350481x473S20350504x473S20500495x494S2a208504x499S2a210474x500,bryte
god,M530x549S34400482x482S26500516x519S15d00496x522,god
aktivitet,M555x522S20302506x506S2030a475x507S2a600507x479S2a611475x478S2f900448x496S2f900544x495S2a600522x479S2a611460x478S2f700542x481S2f700445x482,aktivitet
blunke med begge øyne,M534x517S31400482x482S22104522x492S22104468x493,blunke med begge øyne
plog,M523x524S15b39476x501S15b31500x501S26520493x476,plog
trondheim,M543x521S30005482x482S20310518x506S20600521x491,trondheim
pek v,M510x520S10041489x480S2f900495x515,pek v
to biler kjøre,M508x563S15a50493x490S15a58492x536S26620492x436,to biler kjøre
fingerbokstavering,M590x525S15020527x494S22520523x475S26606560x499S36d00479x506,fingerbokstavering
hei ned venstre,M567x538S33e00483x487S14c20525x497S26507554x490S36d01479x527S32103483x488S30103483x477,hei ned venstre
terning,M529x530S15a37471x470S17130506x475S2a200489x477S2a530510x497,terning
alternerende,M533x550S20500498x539S10e02502x452S10e0a468x451S10e3a471x491S10e52499x490S20500495x462S10e02503x527S10e0a470x527,alternerende
o munn hånd,M541x541S34400482x482S17610525x525,o munn hånd
"x aksen, variant",M544x542S10620474x457S15728457x515S15720477x515S26706502x516,"x aksen, variant"
nå,M516x515S10004501x485S22500484x499,nå
y aksen,M524x547S1dc28475x517S20e00484x498S22c00482x453S10051494x518,y aksen
kvadrat,M535x541S10058481x510S10050503x511S20500495x460S24402502x470S2441a466x469,kvadrat
redusere,M580x539S10048471x509S10040510x508S22a03534x492S22a15448x493S22a03551x476S22a03567x461S22a15434x478S22a15419x462,redusere
diameter,M559x528S10051529x498S2f900538x492S20500472x493S10019455x498S2f900441x522S28f36483x495S28f02478x472S26706486x491,diameter
banke på,M524x525S1ea47475x474S26b07496x497,banke på
hete,M539x551S30004482x482S11500489x521S20600517x516,hete
blakk,M570x574S34100484x482S36d10479x528S28807524x531S2881f455x531S14c30546x501S14c38439x502S22100441x542S22100551x538S17701541x550S17709440x554,blakk
alkalimetall,M523x567S15a48482x434S15a40498x432S18c4a477x539S18c40508x537S26504491x477S20e00492x463S20c00486x517S22a04492x498,alkalimetall
europa,M514x530S14a20491x470S2e408485x497,europa
jah !,M535x610S19a40507x534S19a48468x538S2fb04494x592S35000482x488S30104482x476S2df00511x569S2df18472x568S2f700496x603,jah !
